model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_scratch_034_8,results\models\subject_spec_scratch_034_8.pth,,subject_spec_scratch,034,,8,scratch,2204,37,56,6,8.717199325561523,8.719000816345215,8.719000816345215,103.50460052490234,True
subject_spec_scratch_034_9,results\models\subject_spec_scratch_034_9.pth,,subject_spec_scratch,034,,9,scratch,2204,37,56,6,14.388206481933594,14.386380195617676,14.386380195617676,103.97194314002991,True
subject_spec_scratch_034_10,results\models\subject_spec_scratch_034_10.pth,,subject_spec_scratch,034,,10,scratch,2204,37,56,7,13.051559448242188,13.047658920288086,13.047658920288086,110.49203085899353,True
subject_spec_scratch_034_11,results\models\subject_spec_scratch_034_11.pth,,subject_spec_scratch,034,,11,scratch,2200,38,59,3,6.65027379989624,6.648909568786621,6.648909568786621,79.80720448493958,True
subject_spec_scratch_034_12,results\models\subject_spec_scratch_034_12.pth,,subject_spec_scratch,034,,12,scratch,2200,38,59,9,0.39307472109794617,0.3872067928314209,0.3872067928314209,126.62589430809021,True
subject_spec_scratch_034_13,results\models\subject_spec_scratch_034_13.pth,,subject_spec_scratch,034,,13,scratch,2206,36,55,1,5.587882041931152,5.591022491455078,5.591022491455078,63.988558530807495,True
subject_spec_scratch_034_14,results\models\subject_spec_scratch_034_14.pth,,subject_spec_scratch,034,,14,scratch,2210,34,53,1,11.81395435333252,11.812944412231445,11.812944412231445,64.01911616325378,True
subject_spec_scratch_034_15,results\models\subject_spec_scratch_034_15.pth,,subject_spec_scratch,034,,15,scratch,2208,35,54,2,14.174757957458496,14.173810005187988,14.173810005187988,72.82321262359619,True
subject_spec_scratch_034_16,results\models\subject_spec_scratch_034_16.pth,,subject_spec_scratch,034,,16,scratch,2202,38,57,5,8.880528450012207,8.882353782653809,8.882353782653809,96.3053560256958,True
subject_spec_scratch_034_17,results\models\subject_spec_scratch_034_17.pth,,subject_spec_scratch,034,,17,scratch,2205,36,56,7,3.7626113891601562,3.7578184604644775,3.7578184604644775,111.74900984764099,True
subject_spec_scratch_034_18,results\models\subject_spec_scratch_034_18.pth,,subject_spec_scratch,034,,18,scratch,2206,36,55,1,3.5974812507629395,3.597140312194824,3.597140312194824,64.2587673664093,True
subject_spec_scratch_034_19,results\models\subject_spec_scratch_034_19.pth,,subject_spec_scratch,034,,19,scratch,2203,37,57,1,9.161914825439453,9.160282135009766,9.160282135009766,63.694698095321655,True
subject_spec_scratch_034_20,results\models\subject_spec_scratch_034_20.pth,,subject_spec_scratch,034,,20,scratch,2204,37,56,2,16.848154067993164,16.8497257232666,16.8497257232666,70.79134464263916,True
subject_spec_scratch_034_21,results\models\subject_spec_scratch_034_21.pth,,subject_spec_scratch,034,,21,scratch,2208,35,54,3,10.974151611328125,10.97403335571289,10.97403335571289,79.63928079605103,True
subject_spec_scratch_034_22,results\models\subject_spec_scratch_034_22.pth,,subject_spec_scratch,034,,22,scratch,2207,36,54,1,7.825854778289795,7.826074600219727,7.826074600219727,64.26008296012878,True
subject_spec_scratch_034_23,results\models\subject_spec_scratch_034_23.pth,,subject_spec_scratch,034,,23,scratch,2204,37,56,1,10.333934783935547,10.3358736038208,10.3358736038208,63.9238486289978,True
subject_spec_scratch_034_24,results\models\subject_spec_scratch_034_24.pth,,subject_spec_scratch,034,,24,scratch,2205,36,56,14,15.826668739318848,15.831527709960938,15.831527709960938,167.0792841911316,True
subject_spec_scratch_037_0,results\models\subject_spec_scratch_037_0.pth,,subject_spec_scratch,037,,0,scratch,2230,36,54,4,16.29511260986328,16.29525375366211,16.29525375366211,88.89245009422302,True
subject_spec_scratch_037_1,results\models\subject_spec_scratch_037_1.pth,,subject_spec_scratch,037,,1,scratch,2233,34,53,6,10.736186027526855,10.73353385925293,10.73353385925293,104.80622816085815,True
subject_spec_scratch_037_2,results\models\subject_spec_scratch_037_2.pth,,subject_spec_scratch,037,,2,scratch,2229,36,55,4,7.912689208984375,7.9167890548706055,7.9167890548706055,88.84376454353333,True
subject_spec_scratch_037_3,results\models\subject_spec_scratch_037_3.pth,,subject_spec_scratch,037,,3,scratch,2223,38,59,2,11.131243705749512,11.130859375,11.130859375,72.68801355361938,True
subject_spec_scratch_037_4,results\models\subject_spec_scratch_037_4.pth,,subject_spec_scratch,037,,4,scratch,2223,38,59,10,17.102828979492188,17.102916717529297,17.102916717529297,135.935555934906,True
subject_spec_scratch_037_5,results\models\subject_spec_scratch_037_5.pth,,subject_spec_scratch,037,,5,scratch,2223,38,59,1,11.65832805633545,11.656318664550781,11.656318664550781,65.9619607925415,True
subject_spec_scratch_037_6,results\models\subject_spec_scratch_037_6.pth,,subject_spec_scratch,037,,6,scratch,2223,38,59,5,7.894937038421631,7.895857334136963,7.895857334136963,96.79528427124023,True
subject_spec_scratch_037_7,results\models\subject_spec_scratch_037_7.pth,,subject_spec_scratch,037,,7,scratch,2222,39,59,3,4.30314302444458,4.300928115844727,4.300928115844727,79.54050946235657,True
subject_spec_scratch_037_8,results\models\subject_spec_scratch_037_8.pth,,subject_spec_scratch,037,,8,scratch,2231,35,54,6,7.994035243988037,7.994454860687256,7.994454860687256,104.61340737342834,True
subject_spec_scratch_037_9,results\models\subject_spec_scratch_037_9.pth,,subject_spec_scratch,037,,9,scratch,2230,36,54,1,8.080883026123047,8.07610034942627,8.07610034942627,65.13971424102783,True
